URL,Ridership Numbers,Station,Year,Address,Station Name,Abbreviation,Check,State
https://www.railpassengers.org/site/assets/files/1705/ark.pdf,811,/site/assets/files/1705/ark.pdf,2020,"798 S 5th St Arkadelphia, AR 71923-6237","Arkadelphia, AR",ARK,a,AR
https://www.railpassengers.org/site/assets/files/1705/ark.pdf,589,/site/assets/files/1705/ark.pdf,2021,"798 S 5th St Arkadelphia, AR 71923-6237","Arkadelphia, AR",ARK,a,AR
https://www.railpassengers.org/site/assets/files/1705/ark.pdf,986,/site/assets/files/1705/ark.pdf,2022,"798 S 5th St Arkadelphia, AR 71923-6237","Arkadelphia, AR",ARK,a,AR
https://www.railpassengers.org/site/assets/files/1708/asd.pdf,27943,/site/assets/files/1708/asd.pdf,2016,"112 N Railroad Ave Ashland, VA 23005-1517","Ashland, VA",ASD,a,VA
https://www.railpassengers.org/site/assets/files/1708/asd.pdf,30685,/site/assets/files/1708/asd.pdf,2017,"112 N Railroad Ave Ashland, VA 23005-1517","Ashland, VA",ASD,a,VA
https://www.railpassengers.org/site/assets/files/1708/asd.pdf,28939,/site/assets/files/1708/asd.pdf,2018,"112 N Railroad Ave Ashland, VA 23005-1517","Ashland, VA",ASD,a,VA
https://www.railpassengers.org/site/assets/files/1708/asd.pdf,29930,/site/assets/files/1708/asd.pdf,2019,"112 N Railroad Ave Ashland, VA 23005-1517","Ashland, VA",ASD,a,VA
https://www.railpassengers.org/site/assets/files/1708/asd.pdf,15583,/site/assets/files/1708/asd.pdf,2020,"112 N Railroad Ave Ashland, VA 23005-1517","Ashland, VA",ASD,a,VA
https://www.railpassengers.org/site/assets/files/1708/asd.pdf,8667,/site/assets/files/1708/asd.pdf,2021,"112 N Railroad Ave Ashland, VA 23005-1517","Ashland, VA",ASD,a,VA
https://www.railpassengers.org/site/assets/files/1708/asd.pdf,22555,/site/assets/files/1708/asd.pdf,2022,"112 N Railroad Ave Ashland, VA 23005-1517","Ashland, VA",ASD,a,VA
https://www.railpassengers.org/site/assets/files/1712/atl.pdf,78241,/site/assets/files/1712/atl.pdf,2016,"1688 Peachtree St NW Atlanta, GA 30309-2461","Atlanta, GA",ATL,a,GA
https://www.railpassengers.org/site/assets/files/1712/atl.pdf,76196,/site/assets/files/1712/atl.pdf,2017,"1688 Peachtree St NW Atlanta, GA 30309-2461","Atlanta, GA",ATL,a,GA
https://www.railpassengers.org/site/assets/files/1712/atl.pdf,70890,/site/assets/files/1712/atl.pdf,2018,"1688 Peachtree St NW Atlanta, GA 30309-2461","Atlanta, GA",ATL,a,GA
https://www.railpassengers.org/site/assets/files/1712/atl.pdf,68127,/site/assets/files/1712/atl.pdf,2019,"1688 Peachtree St NW Atlanta, GA 30309-2461","Atlanta, GA",ATL,a,GA
https://www.railpassengers.org/site/assets/files/1712/atl.pdf,41277,/site/assets/files/1712/atl.pdf,2020,"1688 Peachtree St NW Atlanta, GA 30309-2461","Atlanta, GA",ATL,a,GA
https://www.railpassengers.org/site/assets/files/1712/atl.pdf,35147,/site/assets/files/1712/atl.pdf,2021,"1688 Peachtree St NW Atlanta, GA 30309-2461","Atlanta, GA",ATL,a,GA
https://www.railpassengers.org/site/assets/files/1712/atl.pdf,51289,/site/assets/files/1712/atl.pdf,2022,"1688 Peachtree St NW Atlanta, GA 30309-2461","Atlanta, GA",ATL,a,GA
https://www.railpassengers.org/site/assets/files/1714/arn.pdf,15732,/site/assets/files/1714/arn.pdf,2016,"277 Nevada St Auburn, CA 95603-4617","Auburn, CA",ARN,a,CA
https://www.railpassengers.org/site/assets/files/1714/arn.pdf,13352,/site/assets/files/1714/arn.pdf,2017,"277 Nevada St Auburn, CA 95603-4617","Auburn, CA",ARN,a,CA
https://www.railpassengers.org/site/assets/files/1714/arn.pdf,14267,/site/assets/files/1714/arn.pdf,2018,"277 Nevada St Auburn, CA 95603-4617","Auburn, CA",ARN,a,CA
https://www.railpassengers.org/site/assets/files/1714/arn.pdf,15327,/site/assets/files/1714/arn.pdf,2019,"277 Nevada St Auburn, CA 95603-4617","Auburn, CA",ARN,a,CA
